laptop_ID,Inches,Price_euros,TypeName_2 in 1 Convertible,TypeName_Gaming,TypeName_Netbook,TypeName_Notebook,TypeName_Ultrabook,TypeName_Workstation,Ram_12GB,Ram_16GB,Ram_24GB,Ram_2GB,Ram_32GB,Ram_4GB,Ram_64GB,Ram_6GB,Ram_8GB,OpSys_Android,OpSys_Chrome OS,OpSys_Linux,OpSys_Mac OS X,OpSys_No OS,OpSys_Windows 10,OpSys_Windows 10 S,OpSys_Windows 7,OpSys_macOS,Company_encoded,Product_encoded,ScreenResolution_encoded,Cpu_encoded,Memory_encoded,Gpu_encoded,Weight_encoded
145,15.6,869.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,10,291,15,102,16,77,124
146,15.6,602.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,16,411,0,68,26,47,105
147,15.6,369.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,7,51,0,8,16,16,74
148,14.0,1099.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,2,607,8,106,16,61,27
149,12.5,2014.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,7,113,11,47,29,46,5
150,15.6,344.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,2,555,8,37,10,43,148
151,17.3,2029.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,11,152,8,102,18,80,147
152,15.6,447.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0,62,0,56,10,47,105
153,15.6,1249.26,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4,248,8,102,29,75,126
154,15.6,899.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,4,256,8,102,1,75,130
155,15.6,498.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,10,505,0,74,4,53,87
156,17.3,1890.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,11,155,8,102,18,79,144
157,14.0,1082.0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,7,111,8,80,16,53,48
158,15.6,619.0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,7,9,8,83,16,6,80
159,14.0,629.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,10,583,13,59,16,53,65
160,13.3,1315.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,2,600,7,83,16,53,21
161,15.6,1049.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,4,250,7,106,16,61,53
163,15.6,447.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,16,411,0,55,26,47,105
164,15.6,403.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,2,569,0,14,10,22,89
165,17.3,805.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0,67,15,83,16,98,166
166,15.6,728.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,4,240,8,83,16,6,97
167,15.6,1079.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,10,291,15,102,16,76,129
168,15.6,348.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0,61,0,37,10,43,105
169,15.6,1799.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,11,149,15,102,18,79,124
170,15.6,363.51,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0,58,0,113,10,44,105
171,15.6,1060.49,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,4,248,8,102,5,75,126
172,17.3,854.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0,67,15,83,16,98,166
173,13.3,754.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,7,361,15,83,26,61,49
174,13.0,1349.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,8,302,17,74,16,53,8
175,17.3,699.0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,7,47,15,74,22,6,136
